ip,port,now,goodcnt
116.118.88.52,3128,2022-06-25_16:39:05,3
62.75.206.151,3128,2022-06-25_12:02:55,3
45.131.251.197,3129,2022-06-25_22:03:33,1
3.10.56.88,3128,2022-06-25_21:02:09,3
211.114.153.184,443,2022-06-25_16:39:05,3
185.76.9.123,3128,2022-06-25_14:27:34,3
182.160.116.114,9898,2022-06-25_21:59:09,1
213.230.120.186,1500,2022-06-25_18:11:11,1
209.182.235.252,3128,2022-06-25_16:34:43,3
164.92.215.166,8080,2022-06-24_19:14:33,1
169.57.1.85,8123,2022-06-20_16:25:49,2
47.240.160.90,10001,2022-06-25_20:40:13,3
211.114.153.185,443,2022-06-25_16:39:05,3
85.214.190.195,3128,2022-06-25_17:18:32,1
213.230.109.201,1500,2022-06-25_21:59:09,1
194.233.67.98,443,2022-06-25_21:59:09,1
136.226.32.241,443,2022-06-25_15:33:20,4
151.106.17.122,1080,2022-06-25_21:45:59,1
20.110.214.83,80,2022-06-25_20:13:55,1
128.90.106.99,33080,2022-06-25_21:45:59,1
200.105.215.18,33630,2022-06-25_21:45:59,2
192.195.57.72,3128,2022-06-25_17:44:51,3
35.234.248.49,3128,2022-06-25_21:59:09,1
50.17.41.16,8080,2022-06-25_14:14:25,4
159.223.100.21,8080,2022-06-25_19:34:28,1
101.200.127.149,3129,2022-06-25_14:53:53,1
185.15.172.212,3128,2022-06-25_21:59:09,1
110.170.126.13,3128,2022-06-25_18:24:21,1
34.220.50.208,3128,2022-06-25_16:39:05,3
195.158.24.46,3128,2022-06-25_21:02:09,1
5.161.105.105,80,2022-06-25_16:34:43,3
14.140.131.82,3128,2022-06-25_16:39:05,2
43.133.200.35,59394,2022-06-25_21:02:09,2
24.106.221.230,53281,2022-06-25_22:03:33,1
